Age,Sex,Ethnicity,Offence,Month and year,Value
Ages 15 to 19 years inclusive,Male,Pacific Island,Abduction and Kidnapping,August 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Sexual Assault,June 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,Middle Eastern,Abduction and Kidnapping,June 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,July 2014,12
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,July 2014,18
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,October 2014,3
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,January 2015,3
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,March 2015,3
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,May 2015,3
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,July 2014,48
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,July 2014,3
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,July 2014,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,August 2014,63
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,August 2014,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,September 2014,57
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,September 2014,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,October 2014,66
Ages 15 to 19 years inclusive,Male,Maori,Homicide and Related Offences,November 2014,2
Ages 15 to 19 years inclusive,Male,Maori,Assault,December 2014,51
Ages 15 to 19 years inclusive,Male,Maori,Assault,February 2015,57
Ages 15 to 19 years inclusive,Male,Maori,Assault,March 2015,48
Ages 15 to 19 years inclusive,Male,Maori,Assault,April 2015,39
Ages 15 to 19 years inclusive,Male,Middle Eastern,Assault,April 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,June 2015,63
Ages 15 to 19 years inclusive,Male,Maori,Homicide and Related Offences,July 2015,1
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,August 2014,3
Ages 15 to 19 years inclusive,Male,Maori,Abduction and Kidnapping,August 2014,3
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,September 2014,6
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,October 2014,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,November 2014,78
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,November 2014,6
Ages 15 to 19 years inclusive,Male,Indian,Abduction and Kidnapping,December 2014,3
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,December 2014,3
Ages 15 to 19 years inclusive,Male,Latin American/Hispanic,Assault,January 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,January 2015,54
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,February 2015,6
Ages 15 to 19 years inclusive,Male,Indian,Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,March 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Abduction and Kidnapping,March 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,April 2015,3
Ages 15 to 19 years inclusive,Male,Indian,Sexual Assault,May 2015,3
Ages 15 to 19 years inclusive,Male,Latin American/Hispanic,Assault,May 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,May 2015,42
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,May 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,June 2015,3
Ages 15 to 19 years inclusive,Male,Indian,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,July 2015,39
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,August 2015,57
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,August 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,September 2015,51
Ages 15 to 19 years inclusive,Male,Indian,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,October 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Assault,October 2015,63
Ages 15 to 19 years inclusive,Male,Maori,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Male,Maori,Abduction and Kidnapping,October 2015,3
Ages 15 to 19 years inclusive,Male,European,Assault,July 2014,93
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,July 2014,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,July 2014,6
Ages 15 to 19 years inclusive,Male,Asian,Assault,August 2014,9
Ages 15 to 19 years inclusive,Male,European,Assault,August 2014,81
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,August 2014,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,August 2014,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,September 2014,3
Ages 15 to 19 years inclusive,Male,European,Assault,September 2014,72
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,September 2014,9
Ages 15 to 19 years inclusive,Male,Indian,Assault,September 2014,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,October 2014,6
