Police boundary,Age,Location,Outcome of investigation,Measure,Offence,Relationship of offender to victim,Sex,Ethnicity,Month and year,Value,Flags
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Sexual Assault,NOT STATED/INADEQUATELY DESCRIBED,Female,Total ethnicity,July 2014,3,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Abduction and Kidnapping,NOT STATED/INADEQUATELY DESCRIBED,Total sex,Maori,July 2014,3,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Assault,FAMILY MEMBER,Male,Total ethnicity,July 2014,9,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Assault,NON FAMILY MEMBER,Female,Total ethnicity,July 2014,3,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Sexual Assault,NO OFFENDER IDENTIFIED,Male,Total ethnicity,July 2014,3,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Sexual Assault,NO OFFENDER IDENTIFIED,Female,Total ethnicity,July 2014,6,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Assault,FAMILY MEMBER,Female,Total ethnicity,July 2014,9,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Sexual Assault,NOT STATED/INADEQUATELY DESCRIBED,Total sex,Total ethnicity,July 2014,3,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Abduction and Kidnapping,NOT STATED/INADEQUATELY DESCRIBED,Male,Total ethnicity,July 2014,3,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Assault,NO OFFENDER IDENTIFIED,Total sex,African,July 2014,3,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Assault,NO OFFENDER IDENTIFIED,Total sex,Maori,July 2014,12,
New Zealand,Ages 0 to 4 years inclusive,Total location,Total Victimisations,Outcome Of Investigation at 7 Days - Victimisations,Sexual Assault,NOT STATED/INADEQUATELY DESCRIBED,Total sex,Maori,July 2014,3,
